[0]128.91 [1]122.546 [2]126.493 [3]126.597 [4]127.035 [5]136.657 [6]126.526 [7]130.387 [8]130.72 [9]127.014 [10]129.532 [11]128.758 [12]123.701 [13]130.004 [14]129.294 [15]132.75 [16]132.348 [17]127.245 [18]120.366 [19]111.424 [20]131.809 
[0]124.933 [1]124.468 [2]124.939 [3]128.362 [4]131.17 [5]128.599 [6]129.439 [7]132.282 [8]131.94 [9]125.978 [10]127.212 [11]129.679 [12]125.875 [13]128.969 [14]121.726 [15]127.346 [16]124.73 [17]129.626 [18]115.569 [19]115.148 [20]130.635 
[0]128.352 [1]131.782 [2]126.183 [3]127.279 [4]126.228 [5]128.888 [6]129.648 [7]130.186 [8]126.458 [9]128.349 [10]127.7 [11]134.089 [12]130.66 [13]131.54 [14]127.983 [15]128.044 [16]124.514 [17]131.201 [18]125.925 [19]121.088 [20]110.894 
[0]126.287 [1]125.134 [2]132.757 [3]135.35 [4]129.584 [5]123.98 [6]123.696 [7]130.606 [8]123.849 [9]127.139 [10]125.625 [11]123.558 [12]127.784 [13]124.552 [14]130.59 [15]122.568 [16]128.242 [17]130.192 [18]129.103 [19]128.636 [20]114.493 
[0]130.915 [1]128.46 [2]127.551 [3]128.438 [4]126.872 [5]128.547 [6]126.156 [7]130.118 [8]129.093 [9]128.112 [10]122.896 [11]126.614 [12]129.66 [13]126.627 [14]125.098 [15]124.251 [16]124.278 [17]127.635 [18]128.242 [19]126.601 [20]130.648 
[0]122.875 [1]127.304 [2]129.41 [3]127.818 [4]120.077 [5]131.453 [6]130.685 [7]122.872 [8]126.539 [9]128.202 [10]123.752 [11]132.719 [12]127.54 [13]130.308 [14]124.806 [15]129.112 [16]133.635 [17]128.193 [18]127.041 [19]127.993 [20]126.728 
[0]130.61 [1]128.437 [2]123.027 [3]125.788 [4]129.833 [5]124.035 [6]128.531 [7]125.288 [8]128.257 [9]130.295 [10]128.766 [11]127.627 [12]130.153 [13]123.25 [14]128.891 [15]131.742 [16]127.262 [17]132.644 [18]126.619 [19]126.78 [20]130.839 
[0]126.254 [1]126.114 [2]124.891 [3]129.044 [4]127.011 [5]131.139 [6]126.236 [7]127.373 [8]133.327 [9]127.07 [10]130.38 [11]130.486 [12]128.918 [13]125.163 [14]128.502 [15]128.224 [16]130.631 [17]132.658 [18]125.217 [19]128.501 [20]126.823 
[0]130.348 [1]127.871 [2]126.705 [3]128.098 [4]126.109 [5]130.4 [6]128.961 [7]132.699 [8]129.867 [9]129.013 [10]132.445 [11]124.634 [12]130.563 [13]129.31 [14]122.97 [15]127.058 [16]126.627 [17]128.819 [18]128.496 [19]126.369 [20]129.28 
[0]128.697 [1]122.738 [2]127.945 [3]126.846 [4]124.084 [5]133.731 [6]128.762 [7]128.457 [8]135.959 [9]125.501 [10]125.151 [11]128.877 [12]125.863 [13]124.22 [14]127.63 [15]130.216 [16]126.457 [17]128.549 [18]127.129 [19]130.072 [20]129.338 
[0]133.59 [1]130.554 [2]125.797 [3]131.667 [4]126.718 [5]128.672 [6]124.894 [7]127.489 [8]126.241 [9]131.9 [10]124.15 [11]122.611 [12]126.315 [13]133.809 [14]127.748 [15]127.891 [16]130.583 [17]123.426 [18]126.406 [19]130.294 [20]129.413 
[0]127.997 [1]130.355 [2]122.256 [3]131.039 [4]128.329 [5]126.032 [6]124.826 [7]128.501 [8]126.158 [9]129.63 [10]124.276 [11]129.143 [12]120.703 [13]124.458 [14]125.457 [15]128.556 [16]125.558 [17]128.533 [18]123.959 [19]123.034 [20]124.923 
[0]130.44 [1]130.638 [2]131.186 [3]124.719 [4]129.624 [5]130.848 [6]127.528 [7]125.249 [8]123.109 [9]128.14 [10]126.048 [11]130.301 [12]131.518 [13]121.25 [14]122.961 [15]129.915 [16]118.726 [17]125.069 [18]128.605 [19]125.019 [20]127.422 
[0]130.201 [1]136.183 [2]135.01 [3]128.865 [4]129.691 [5]125.234 [6]128.521 [7]126.374 [8]128.036 [9]131.737 [10]126.081 [11]125.131 [12]127.782 [13]128.4 [14]127.33 [15]127.832 [16]132.903 [17]121.36 [18]125.415 [19]130.806 [20]130.069 
[0]130.603 [1]124.563 [2]129.812 [3]131.993 [4]127.238 [5]124.184 [6]127.01 [7]126.951 [8]124.629 [9]131.734 [10]122.167 [11]124.094 [12]131.92 [13]130.055 [14]130.101 [15]131.26 [16]128.123 [17]125.675 [18]128.515 [19]124.1 [20]129.548 
[0]128.393 [1]131.172 [2]131.148 [3]124.672 [4]130.154 [5]124.543 [6]125.937 [7]131.517 [8]133.998 [9]127.821 [10]126.834 [11]129.647 [12]131.851 [13]129.449 [14]130.001 [15]132.133 [16]123.811 [17]128.411 [18]124.965 [19]125.888 [20]134.354 
[0]129.452 [1]129.683 [2]125.388 [3]131.84 [4]126.915 [5]123.997 [6]130.794 [7]124.995 [8]126.217 [9]131.536 [10]124.56 [11]130.301 [12]127.093 [13]127.685 [14]129.083 [15]127.234 [16]127.468 [17]122.503 [18]130.426 [19]123.878 [20]121.914 
